Title,Author,Editor,Publisher,Subject,ISBN Number
Harry Potter and the Sorcerer's Stone (Anniversary Edition),J.K. Rowling,Bloomsbury,Scholastic,Fantasy,9219798327719
The Da Vinci Code (Anniversary Edition),Dan Brown,Doubleday,Anchor,Mystery,5274127509011
The Alchemist (Anniversary Edition),Paulo Coelho,Rocco,HarperOne,Fiction,2090689665720
The Fault in Our Stars (Anniversary Edition),John Green,Dutton Books,Penguin,Young Adult,6699872474825
The Hunger Games (Anniversary Edition),Suzanne Collins,Scholastic Press,Scholastic,Science Fiction,4006618269289
A Brief History of Time (Anniversary Edition),Stephen Hawking,Bantam Books,Bantam,Science,8305484292013
Sapiens: A Brief History of Humankind (Anniversary Edition),Yuval Noah Harari,Harvill Secker,Harper,History,4544584448694
Steve Jobs (Anniversary Edition),Walter Isaacson,Simon & Schuster,Simon & Schuster,Biography,8620863884255
Becoming (Anniversary Edition),Michelle Obama,Crown,Crown Publishing,Memoir,3301941618295
The Art of War (Anniversary Edition),Sun Tzu,Unknown,Oxford University Press,Philosophy,2716774556850
The Road (Anniversary Edition),Cormac McCarthy,Alfred A. Knopf,Vintage,Post-apocalyptic Fiction,8382535921436
Jane Eyre (Anniversary Edition),Charlotte Brontë,"Smith, Elder & Co.",Penguin Classics,Gothic Fiction,9986538964308
The Shining (Anniversary Edition),Stephen King,Doubleday,Anchor,Horror,5111866672442
Charlotte's Web (Anniversary Edition),E.B. White,Harper & Brothers,HarperCollins,Children's Fiction,7297723563374
